participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,num_usual_contacts,total_hrs_participant,physical_hrs_participant
10105130,1,379,6,400.4662268518,6,11,1,15,1,999,4,2,2,7,1,11,1,1,3,9.35,5
10358113,2,28,5,30.4843171295943,7,11,1,33,2,1,1,3,1,5,1,5,1,1,3,0.0416666666666667,0.0416666666666667
10400394,2,344,6,343.790428240784,5,18,2,18,2,1,1,3,1,2,1,11,1,1,2,0.616666666666667,0.616666666666667
10495813,2,318,1,315.870740740793,5,20,1,19,2,1,4,2,2,4,1,14,1,1,3,0.475,0.316666666666667
10532697,2,30,7,31.5577199073741,1,13,1,23,1,1,4,3,1,1,1,5,1,1,2,3.11666666666667,0
10605717,2,395,1,396.822638888843,2,19,1,15,2,999,999,2,999,999,1,6,1,1,5,35,12.5
10667596,2,328,4,328.954571759212,4,22,2,18,2,1,1,3,1,2,1,15,1,1,2,4.05,0.616666666666667
10739775,2,27,4,32.6398263889132,2,15,1,19,1,1,4,2,999,999,1,18,1,1,2,0.158333333333333,0.158333333333333
10822794,1,98,5,105.739710648195,5,17,1,69,2,2,999,2,1,1,997,14,1,1,2,5.15833333333333,5
10946094,2,328,4,326.742569444468,2,17,2,23,2,999,999,3,2,9,1,17,1,1,1,0.0416666666666667,0.0416666666666667
10977706,1,352,7,370.690300925868,4,16,2,33,1,1,1,3,1,4,1,8,1,1,2,11.1166666666667,10.3583333333333
11006409,2,85,6,85.4867129629711,6,11,2,43,2,999,999,2,999,999,1,5,1,1,2,8,8
11037821,1,336,5,364.498194444459,5,11,1,58,2,999,6,2,999,999,1,5,1,1,1,1.23333333333333,0.616666666666667
11164072,1,349,4,391.546840277733,4,13,1,9,1,999,4,1,999,999,1,13,1,1,4,29.4666666666667,17.3166666666667
11170632,2,395,1,411.849849537015,3,20,1,5,2,1,4,1,2,11,1,5,1,1,6,9.61666666666667,9.61666666666667
11249443,2,331,7,333.483912036987,2,11,2,63,2,999,999,3,999,999,999,999,1,1,2,0.0416666666666667,0.0416666666666667
11256889,2,314,4,314.814039351884,4,19,2,18,2,1,1,2,1,3,2,13,1,1,3,0.0416666666666667,0
11294271,2,339,1,339.892662037048,1,21,1,27,1,1,1,3,1,3,2,3,1,1,1,4,4
11319336,1,109,2,118.434826388839,4,10,1,2,1,2,4,1,2,8,1,9,1,1,4,33.5,33.5
11344005,2,344,6,345.782824074035,7,18,2,23,2,1,1,3,1,6,1,2,1,1,2,23.65,1.90833333333333
11417589,2,100,7,100.494004629669,7,11,1,44,2,1,1,2,1,3,2,8,1,1,2,15.1166666666667,12
11625385,2,352,7,354.578541666619,2,13,2,38,1,2,1,3,999,999,1,6,1,1,2,3.275,0
11658139,2,387,7,427.728321759263,5,17,2,13,2,2,4,2,999,999,1,999,1,1,4,0.616666666666667,0.616666666666667
11724464,1,334,3,368.530196759268,2,12,2,53,2,999,999,999,999,999,999,999,1,1,3,2.175,1.85
11772427,2,79,7,96.5345949074253,3,12,2,3,1,999,999,1,999,999,1,7,1,1,3,9.08333333333333,9
11776171,2,374,1,375.47293981479,2,11,1,51,2,1,1,3,2,10,1,14,1,1,3,20.6166666666667,0
11837502,1,320,3,351.70674768521,6,16,1,67,2,999,5,1,999,1,1,14,1,1,3,5.61666666666667,0
11841028,1,13,4,21.7664583333535,5,18,1,14,1,999,4,2,2,998,1,14,1,1,3,44.2916666666667,13.0583333333333
11857415,2,323,6,322.766909722239,5,18,2,18,2,999,999,3,999,999,1,3,1,1,7,6.5,4
11870454,1,336,5,348.531666666619,3,12,1,53,2,1,5,2,1,1,1,17,999,1,2,15.6583333333333,8
12026009,2,42,5,42.8270023148507,5,19,2,38,1,1,1,3,1,7,1,17,1,1,2,19.9833333333333,10.5
12037142,1,320,3,364.504004629678,5,12,1,65,2,999,5,1,2,2,2,6,1,1,2,1.23333333333333,1.23333333333333
12066136,2,204,6,204.757048611064,6,18,2,33,1,1,3,3,1,5,1,11,1,1,1,6.5,4
12180851,2,331,7,332.964351851842,1,23,2,8,2,999,999,1,999,999,1,5,1,1,2,4,0
12265942,2,331,7,332.109212962911,1,2,2,43,1,1,3,2,1,8,1,5,1,1,2,6.89166666666667,0.0416666666666667
12394988,1,129,1,259.58251157403,5,13,1,59,1,999,6,1,999,998,1,18,1,1,3,15.1,0
12464494,2,91,5,90.5125578703592,4,12,1,36,2,1,1,3,1,8,1,17,1,1,2,36.5,0
